idx_ogd,idx_all,match_rule,score
105,377,email_unique,
120,378,email_unique,
106,379,email_unique,
122,380,email_unique,
755,381,email_unique,
757,382,email_unique,
699,383,email_unique,
759,384,email_unique,
758,385,email_unique,
809,386,email_unique,
760,387,email_unique,
693,388,email_unique,
761,389,email_unique,
762,390,email_unique,
768,391,email_unique,
701,392,email_unique,
763,393,email_unique,
765,394,email_unique,
766,395,email_unique,
767,396,email_unique,
769,397,email_unique,
770,398,email_unique,
807,399,email_unique,
771,400,email_unique,
694,401,email_unique,
773,402,email_unique,
689,403,email_unique,
811,404,email_unique,
772,405,email_unique,
697,406,email_unique,
774,407,email_unique,
861,410,email_unique,
823,411,email_unique,
862,412,email_unique,
822,413,email_unique,
863,414,email_unique,
830,415,email_unique,
864,416,email_unique,
865,417,email_unique,
834,418,email_unique,
819,426,email_unique,
871,427,email_unique,
934,430,email_unique,
894,431,email_unique,
935,432,email_unique,
982,434,email_unique,
984,435,email_unique,
950,438,email_unique,
991,448,email_unique,
948,449,email_unique,
1039,451,email_unique,
997,452,email_unique,
1040,453,email_unique,
1041,454,email_unique,
1049,455,email_unique,
1042,456,email_unique,
1005,457,email_unique,
1038,458,email_unique,
1009,459,email_unique,
1044,462,email_unique,
1047,463,email_unique,
1004,464,email_unique,
1045,465,email_unique,
999,466,email_unique,
1046,467,email_unique,
1087,468,email_unique,
1064,469,email_unique,
1055,470,email_unique,
1094,471,email_unique,
1090,472,email_unique,
1157,475,email_unique,
1095,478,email_unique,
1063,479,email_unique,
1096,482,email_unique,
1061,483,email_unique,
220,486,email_unique,
1089,487,email_unique,
1058,488,email_unique,
221,489,email_unique,
222,490,email_unique,
1111,492,email_unique,
1151,495,email_unique,
1152,496,email_unique,
1146,497,email_unique,
1125,498,email_unique,
1119,499,email_unique,
1153,501,email_unique,
1156,502,email_unique,
1155,503,email_unique,
1158,504,email_unique,
1116,505,email_unique,
1159,506,email_unique,
1161,508,email_unique,
1126,509,email_unique,
1162,510,email_unique,
1163,511,email_unique,
1109,512,email_unique,
430,513,email_unique,
1164,514,email_unique,
1121,515,email_unique,
1165,516,email_unique,
1128,517,email_unique,
1245,523,email_unique,
1253,534,email_unique,
1259,535,email_unique,
1254,536,email_unique,
1255,537,email_unique,
1263,538,email_unique,
1198,539,email_unique,
1256,540,email_unique,
1257,541,email_unique,
1264,542,email_unique,
1262,543,email_unique,
1260,544,email_unique,
1261,545,email_unique,
1265,546,email_unique,
1267,549,email_unique,
1188,550,email_unique,
1286,552,email_unique,
1202,562,email_unique,
1274,565,email_unique,
268,569,email_unique,
267,572,email_unique,
1345,574,email_unique,
1346,575,email_unique,
1347,576,email_unique,
1372,581,email_unique,
1349,582,email_unique,
1303,583,email_unique,
1304,585,email_unique,
1307,586,email_unique,
1364,587,email_unique,
1326,588,email_unique,
1354,591,email_unique,
1301,592,email_unique,
365,248,phone_unique,
287,254,phone_unique,
371,255,phone_unique,
446,263,phone_unique,
454,274,phone_unique,
525,297,phone_unique,
531,305,phone_unique,
532,306,phone_unique,
560,319,phone_unique,
604,320,phone_unique,
635,348,phone_unique,
18,356,phone_unique,
181,361,phone_unique,
777,408,phone_unique,
776,409,phone_unique,
868,423,phone_unique,
988,441,phone_unique,
1154,500,phone_unique,
1160,507,phone_unique,
1184,519,phone_unique,
1280,520,phone_unique,
1246,524,phone_unique,
1249,529,phone_unique,
1250,531,phone_unique,
1251,532,phone_unique,
1252,533,phone_unique,
1291,551,phone_unique,
1269,553,phone_unique,
1268,554,phone_unique,
1272,561,phone_unique,
1350,584,phone_unique,
41,358,fuzzy_name_plz_ort_art,93.10344827586206
1308,578,fuzzy_name_plz_ort_art,100.0
1344,577,fuzzy_name_plz_ort_art,100.0
